Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 4, 'n_kv_head': 2, 'n_embd': 512, 'window_pattern': 'SSMM'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 8,388,608
  lm_head                 : 4,194,304
  transformer_matrices    : 12,845,312
  scalars                 : 14
  total                   : 29,622,542
Estimated FLOPs per token: 1.187528e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010814 | lrm: 1.00 | dt: 16585ms | tok/sec: 3,951 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.911062 | lrm: 1.00 | dt: 166ms | tok/sec: 394,373 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.570065 | lrm: 1.00 | dt: 167ms | tok/sec: 391,854 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.161243 | lrm: 1.00 | dt: 168ms | tok/sec: 389,993 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.808765 | lrm: 1.00 | dt: 166ms | tok/sec: 394,243 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.510005 | lrm: 1.00 | dt: 167ms | tok/sec: 393,424 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.270426 | lrm: 1.00 | dt: 171ms | tok/sec: 384,318 | mfu: 4.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.064647 | lrm: 1.00 | dt: 166ms | tok/sec: 394,020 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.889792 | lrm: 1.00 | dt: 170ms | tok/sec: 385,837 | mfu: 4.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.748239 | lrm: 1.00 | dt: 168ms | tok/sec: 389,770 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.624792 | lrm: 1.00 | dt: 168ms | tok/sec: 389,377 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.516848 | lrm: 1.00 | dt: 167ms | tok/sec: 391,812 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.419692 | lrm: 1.00 | dt: 168ms | tok/sec: 389,626 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.335057 | lrm: 1.00 | dt: 168ms | tok/sec: 390,779 | mfu: 4.7% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.253039 | lrm: 1.00 | dt: 170ms | tok/sec: 385,364 | mfu: 4.6% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.183993 | lrm: 1.00 | dt: 169ms | tok/sec: 387,979 | mfu: 4.7% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 6.117272 | lrm: 1.00 | dt: 168ms | tok/sec: 390,619 | mfu: 4.7% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 6.058111 | lrm: 1.00 | dt: 168ms | tok/sec: 390,978 | mfu: 4.7% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 6.006202 | lrm: 1.00 | dt: 169ms | tok/sec: 388,242 | mfu: 4.7% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.951465 | lrm: 1.00 | dt: 168ms | tok/sec: 390,385 | mfu: 4.7% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.902329 | lrm: 1.00 | dt: 169ms | tok/sec: 387,938 | mfu: 4.7% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.854617 | lrm: 1.00 | dt: 169ms | tok/sec: 388,202 | mfu: 4.7% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.807726 | lrm: 1.00 | dt: 169ms | tok/sec: 388,302 | mfu: 4.7% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.759978 | lrm: 1.00 | dt: 168ms | tok/sec: 390,730 | mfu: 4.7% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.723509 | lrm: 1.00 | dt: 169ms | tok/sec: 387,477 | mfu: 4.7% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.686777 | lrm: 1.00 | dt: 169ms | tok/sec: 388,868 | mfu: 4.7% | epoch: 1 | remaining: 297s    
step 00026 (0.8%) | loss: 5.652547 | lrm: 1.00 | dt: 170ms | tok/sec: 385,523 | mfu: 4.6% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.618284 | lrm: 1.00 | dt: 169ms | tok/sec: 388,230 | mfu: 4.7% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.581735 | lrm: 1.00 | dt: 167ms | tok/sec: 391,887 | mfu: 4.7% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.549948 | lrm: 1.00 | dt: 169ms | tok/sec: 387,138 | mfu: 4.6% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.524168 | lrm: 1.00 | dt: 169ms | tok/sec: 388,417 | mfu: 4.7% | epoch: 1 | remaining: 297s    
